Jung Seung-Hyun | 정승현 | Ulsan Hyundai FC | Defender | 15
Kang Sang-Woo | 강상우 | Ulsan Hyundai FC | Defender | 17
Kim Young-Gwon | 김영권 | Ulsan Hyundai FC | Defender | 19
Cho Hyun-Taek | 조현택 | Ulsan Hyundai FC | Defender | 26
Lee Jae-Ik | 이재익 | Ulsan Hyundai FC | Defender | 28
M. Trojak | 트로야크 | Ulsan Hyundai FC | Defender | 66
Sim Sang-Min | 심상민 | Ulsan Hyundai FC | Defender | 77
Choi Seok-Hyun | 최석현 | Ulsan Hyundai FC | Defender | 96
D. Bojanić | 보야니치 | Ulsan Hyundai FC | Midfielder | 6 
Lee Hui-Gyun | 이희균 | Ulsan Hyundai FC | Midfielder | 8
Lee Dong-Gyeong | 이동경 | Ulsan Hyundai FC | Midfielder | 10
Lee Jin-Hyun | 이진현 | Ulsan Hyundai FC | Midfielder | 14
Park Woo-Jin | 박우진 | Ulsan Hyundai FC | Midfielder | 16
Lee Min-Hyuk | 이민혁 | Ulsan Hyundai FC | Midfielder | 23
Lee Gyu-Sung | 이규성 | Ulsan Hyundai FC | Midfielder | 24
Pedrinho | 페드링요 | Ulsan Hyundai FC | Midfielder | 27
Jang Si-Young | 장시영 | Ulsan Hyundai FC | Midfielder | 33
Jo Min-Seo | 조민서 | Ulsan Hyundai FC | Midfielder | 43
Back In-Woo | 백인우 | Ulsan Hyundai FC | Midfielder | 72
B. Michel | 벤지 | Ulsan Hyundai FC | Midfielder | 91
Marcão | 말컹 | Ulsan Hyundai FC | Forward | 9
Erick Farias | 에릭 | Ulsan Hyundai FC | Forward | 97
Heo Yool | 허율 | Ulsan Hyundai FC | Forward | 18
Jung Jae-Sang | 정재상 | Ulsan Hyundai FC | Forward | 20
Yago Cariello | 야고 | Ulsan Hyundai FC | Forward | 99

Lim Jun-Sub | 임준섭 | FC Seoul | Goalkeeper | 1
Gu Sung-Yun | 구성윤 | FC Seoul | Goalkeeper | 25
Kang Hyeon-Mu | 강현무 | FC Seoul | Goalkeeper | 31
